S.No.,date,day,population,area,genotype_id,Flower_id,treatment,length_mm,width_mm,ratio_len_wid,Flower_size,tunnel_length,entr_length,entr_height,tunnel_volume_cm,bp_area,fruit,seed,seed_weight
31,2024-02-21,15,NET,GREEN,N192,192.2,SUPP,74.9,62.5,1.1984000000000001,46.8125,38.0,15.7,6.7,3.9972200000000004,7.672,1.0,23.0,1.04
32,2024-02-21,15,NET,GREEN,N192,192.3,SUPP,71.2,60.0,1.1866666666666668,42.72,34.3,17.5,7.5,4.501875,7.856,0.0,0.0,
33,2024-02-21,15,NET,GREEN,N188,188.101,CONTROL,71.9,63.2,1.1376582278481013,45.44080000000001,33.2,15.5,7.6,3.91096,8.751,1.0,18.0,0.44
34,2024-02-21,15,NET,GREEN,N906,906.1,CONTROL,86.1,68.0,1.2661764705882352,58.547999999999995,35.0,12.2,7.9,3.3733,7.508,0.0,0.0,
35,2024-02-21,15,NET,GREEN,N193,193.1,CONTROL,77.8,66.2,1.175226586102719,51.5036,30.1,14.8,7.4,3.296552,7.092,0.0,0.0,
36,2024-02-21,15,NET,GREEN,N193,193.2,CONTROL,76.5,68.2,1.1217008797653958,52.173,31.3,12.1,8.9,3.3706970000000003,7.403,1.0,12.0,0.42
37,2024-02-21,15,NET,BLUE,N111,111.1,SUPP,88.5,77.5,1.1419354838709677,68.5875,36.7,14.9,9.0,4.92147,10.089,0.0,0.0,
38,2024-02-21,15,NET,BLUE,N189,189.3,CONTROL,63.4,60.5,1.0479338842975205,38.357,30.3,12.4,8.5,3.19362,9.945,1.0,9.0,0.4
39,2024-02-21,15,NET,BLUE,N190,190.2,CONTROL,73.9,59.7,1.23785594639866,44.118300000000005,29.4,14.8,8.3,3.6114960000000007,6.774,1.0,,
40,2024-02-21,15,NET,PINK,N056,56.1,CONTROL,70.3,64.0,1.0984375,44.992,28.1,13.1,7.0,2.57677,7.472,1.0,14.0,0.99
41,2024-02-21,15,NET,PINK,N056,56.2,CONTROL,67.9,64.8,1.0478395061728396,43.9992,28.2,12.2,6.2,2.1330479999999996,8.401,1.0,6.0,0.14
42,2024-02-21,15,NET,PINK,N056,56.3,CONTROL,61.0,52.1,1.1708253358925145,31.781,27.2,10.1,9.3,2.554896,8.452,1.0,28.0,0.8
43,2024-02-21,15,NET,PINK,N073,73.1,SUPP,65.8,54.3,1.2117863720073665,35.7294,31.2,12.2,7.9,3.007056,8.771,1.0,58.0,0.82
44,2024-02-25,19,NET,RED,N186,186.3,CONTROL,79.4,74.5,1.065771812080537,59.153,36.8,14.5,8.9,4.749039999999999,7.397,1.0,21.0,0.7
45,2024-02-25,19,NET,RED,N194,194.1,SUPP,76.6,67.1,1.1415797317436662,51.39859999999999,37.0,14.1,8.8,4.59096,10.493,1.0,8.0,0.4
46,2024-02-25,19,NET,RED,N194,194.2,SUPP,83.1,68.0,1.2220588235294116,56.507999999999996,36.4,11.8,9.3,3.994536,9.828,0.0,0.0,
