Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
29,45,I.atropurpurea,NET,2023-03-05,156,1,65.5,58.2,1.1254295532646048,3812.1000000000004,38.121,34.2,12.0,8.6,114612,"S cut, C",2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,22,I.atropurpurea,NET,2023-02-21,158,1,63.4,64.8,0.9783950617283951,4108.32,41.0832,32.2,16.7,7,155135,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,21,I.atropurpurea,NET,2023-02-21,162,1,77.4,66.9,1.15695067264574,5178.06,51.78060000000001,26.5,10.0,6.2,154642,C,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,28,I.atropurpurea,NET,2023-02-26,162,2,66.7,64.7,1.0309119010819165,4315.490000000001,43.154900000000005,28.1,15.7,8.4,103151,,,,,,,,0.0,0.0,0.0,0.0
33,2,I.atropurpurea,NET,2023-02-13,165,1,81.4,71.4,1.1400560224089635,5811.960000000001,58.119600000000005,26.2,15.1,8.2,113612+113626,,6.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,3,I.atropurpurea,NET,2023-02-13,165,2,51.2,64.4,0.7950310559006211,3297.2800000000007,32.9728,27.0,15.0,7.4, - ,,,,,,,,0.0,0.0,0.0,0.0
35,4,I.atropurpurea,NET,2023-02-13,165,3,62.0,54.7,1.1334552102376598,3391.4,33.914,26.0,14.6,7.7, - ,,,,,,,,0.0,0.0,0.0,0.0
36,20,I.atropurpurea,NET,2023-02-21,165,4,26.7,15.8,1.6898734177215189,421.86,4.2186,,,,F eaten,,,,,,,,0.0,0.0,0.0,0.0
37,39,I.atropurpurea,NET,2023-03-05,174,1,55.2,58.0,0.9517241379310345,3201.6000000000004,32.016,24.0,12.7,7.9,101526,W/C/eaten,3.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,104.1,34.699999999999996
38,29,I.atropurpurea,NET,2023-02-26,175,1,77.8,67.1,1.15946348733234,5220.379999999999,52.20379999999999,33.1,14.1,8.8,104744,,4.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,220.5,44.1
39,30,I.atropurpurea,NET,2023-02-26,175,2,64.1,64.2,0.9984423676012459,4115.22,41.15219999999999,33.8,18.9,10.2,104752,,,,,,,,0.0,0.0,0.0,0.0
40,31,I.atropurpurea,NET,2023-02-26,175,3,74.0,63.4,1.167192429022082,4691.599999999999,46.916000000000004,37.1,14.3,8.1,104822,,,,,,,,0.0,0.0,0.0,0.0
41,37,I.atropurpurea,NET,2023-03-05,176,1,68.6,60.7,1.1301482701812189,4164.0199999999995,41.6402,29.1,16.2,8.2,94220,"C, F was cut",1.0,1.0,0.0,,0.0,,,,,
42,19,I.atropurpurea,NET,2023-02-21,234,1,77.8,63.7,1.2213500784929356,4955.86,49.5586,,,,F eaten,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,41,I.atropurpurea,NET,2023-03-05,902,1,77.2,63.9,1.2081377151799688,4933.08,49.3308,32.2,13.9,9,105309,C,8.0,1.0,7.0,1.0,,,1.0,45.0,2128.5,47.3
44,8,I.atropurpurea,NET,2023-02-21,907,1,74.54,66.2,1.1259818731117825,4934.548000000001,49.34548,28.2,16.2,7.2,101705,"C, fruit was open",4.0,1.0,3.0,1.0,0.0,1.0,1.0,7.0,280.2,40.028571428571425
45,6,I.atropurpurea,NET,2023-02-21,908,1,72.8,61.3,1.1876019575856445,4462.639999999999,44.6264,31.1,19.3,5.9,95731,Non covered,4.0,2.0,2.0,,,,,,,
46,7,I.atropurpurea,NET,2023-02-21,908,2,63.6,67.0,0.9492537313432836,4261.2,42.612,25.4,15.8,6.3, - Cut,,,,,,,,,,,
47,47,I.atropurpurea,NET,2023-03-05,910,1,61.1,54.7,1.117001828153565,3342.17,33.42170000000001,27.4,12.8,8,124210+124213,All eaten,13.0,4.0,9.0,,,,,,,
48,48,I.atropurpurea,NET,2023-03-05,910,2,67.7,56.4,1.200354609929078,3818.28,38.1828,27.1,11.8,6.7,124223,,,,,,,,,,,
49,49,I.atropurpurea,NET,2023-03-05,910,3,76.8,58.6,1.310580204778157,4500.48,45.0048,28.5,9.3,8,124525,,,,,,,,,,,
50,50,I.atropurpurea,NET,2023-03-05,910,4,55.2,50.0,1.104,2760.0,27.6,,,,124530,F eaten,,,,,,,,,,
51,33,I.atropurpurea,NET,2023-02-26,911,1,75.4,66.0,1.1424242424242426,4976.400000000001,49.764,29.5,14.0,7.8, - ,C,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,I.atropurpurea,NET,2023-03-12,911,2,67.7,63.6,1.0644654088050314,4305.72,43.0572,26.8,12.0,8,114122,,,,,,,,0.0,0.0,0.0,0.0
53,7,I.atropurpurea,KUR,2023-02-23,135,1,64.1,58.3,1.0994854202401372,3737.0299999999993,37.37029999999999,25.7,12.2,9.6,92318,1 rotten,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
54,42,I.atropurpurea,KUR,2023-03-01,136,1,80.3,60.8,1.3207236842105263,4882.24,48.822399999999995,25.0,13.1,7.7,112306,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,44,I.atropurpurea,KUR,2023-03-01,139,1,65.3,58.4,1.1181506849315068,3813.5199999999995,38.1352,32.1,14.4,8.2,114405,,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,45,I.atropurpurea,KUR,2023-03-01,139,2,62.8,54.2,1.158671586715867,3403.76,34.0376,,,,114423,,,,,,,,0.0,0.0,0.0,0.0
57,46,I.atropurpurea,KUR,2023-03-01,139,3,64.2,57.5,1.1165217391304347,3691.5,36.915,28.9,14.7,7.4,114438,,,,,,,,0.0,0.0,0.0,0.0
58,85,I.atropurpurea,KUR,2023-03-08,140,1,65.9,49.5,1.3313131313131314,3262.05,32.62050000000001,25.4,14.4,6, - ,Eaten,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,86,I.atropurpurea,KUR,2023-03-08,140,2,48.4,61.5,0.7869918699186992,2976.6,29.766000000000002,,,, - ,S sqoushed and F streight,,,,,,,0.0,0.0,0.0,0.0
60,87,I.atropurpurea,KUR,2023-03-08,140,3,43.6,37.6,1.1595744680851063,1639.3600000000001,16.393600000000003,21.8,12.9,8.1, - ,,,,,,,,0.0,0.0,0.0,0.0
61,88,I.atropurpurea,KUR,2023-03-08,140,4,47.9,42.5,1.1270588235294117,2035.75,20.3575,22.2,10.8,9, - ,,,,,,,,0.0,0.0,0.0,0.0
62,103,I.atropurpurea,KUR,2023-03-13,140,5,51.2,46.4,1.103448275862069,2375.68,23.7568,23.3,12.0,7.9, - ,,,,,,,,0.0,0.0,0.0,0.0
63,25,I.atropurpurea,KUR,2023-02-23,145,1,62.4,57.1,1.0928196147110332,3563.04,35.6304,26.2,11.2,9.3,123956,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,27,I.atropurpurea,KUR,2023-02-23,147,1,78.3,67.4,1.161721068249258,5277.42,52.7742,25.6,13.9,6.3,125729,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,28,I.atropurpurea,KUR,2023-02-23,147,2,72.7,65.3,1.1133231240428791,4747.31,47.473099999999995,29.2,13.1,9.9,125744,,,,,,,,0.0,0.0,0.0,0.0
66,15,I.atropurpurea,KUR,2023-02-23,155,1,61.8,53.9,1.1465677179962894,3331.02,33.310199999999995,27.3,13.9,8.5,104500,5 rotten,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16,I.atropurpurea,KUR,2023-02-23,155,2,59.3,55.5,1.0684684684684684,3291.1499999999996,32.9115,25.0,14.8,7.6,104512,,,,,,,,0.0,0.0,0.0,0.0
68,53,I.atropurpurea,KUR,2023-03-01,159,1,49.7,48.3,1.028985507246377,2400.51,24.005100000000002,24.5,9.2,8.8,124553,,14.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
