Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
131,111,I.atropurpurea,KUR,2023-03-13,195,6,51.2,43.5,1.1770114942528735,2227.2000000000003,22.272,22.3,9.7,8.3,114043,,,,,,,,0.0,0.0,0.0,0.0
132,39,I.atropurpurea,KUR,2023-03-01,196,1,64.4,54.9,1.1730418943533698,3535.5600000000004,35.3556,25.6,15.8,6.4,110730,,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,40,I.atropurpurea,KUR,2023-03-01,196,2,59.4,53.5,1.1102803738317757,3177.9,31.778999999999996,24.1,4.9,7.5,110747,,,,,,,,0.0,0.0,0.0,0.0
134,41,I.atropurpurea,KUR,2023-03-01,196,3,51.6,49.4,1.0445344129554657,2549.04,25.490399999999998,,,,110814,,,,,,,,0.0,0.0,0.0,0.0
135,47,I.atropurpurea,KUR,2023-03-01,197,1,64.6,57.2,1.1293706293706292,3695.12,36.9512,27.5,13.3,9.6,115554,,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,48,I.atropurpurea,KUR,2023-03-01,197,2,65.0,55.7,1.1669658886894074,3620.5,36.205,,,,115600,,,,,,,,0.0,0.0,0.0,0.0
137,49,I.atropurpurea,KUR,2023-03-01,197,3,69.0,79.1,0.8723135271807839,5457.9,54.579,29.1,14.6,5.9,115615,,,,,,,,0.0,0.0,0.0,0.0
138,84,I.atropurpurea,KUR,2023-03-08,197,4,73.5,59.7,1.2311557788944723,4387.95,43.8795,27.5,12.8,7.5,114533,,,,,,,,0.0,0.0,0.0,0.0
139,51,I.atropurpurea,KUR,2023-03-01,198,1,85.1,65.2,1.3052147239263803,5548.5199999999995,55.485200000000006,30.9,12.7,8.7,122402,F cut,3.0,1.0,2.0,,0.0,,,,,
140,58,I.atropurpurea,KUR,2023-03-01,199,1,79.0,56.6,1.3957597173144876,4471.400000000001,44.714000000000006,23.6,11.6,6.5,134435,,4.0,2.0,2.0,,,,0.0,0.0,0.0,0.0
141,59,I.atropurpurea,KUR,2023-03-01,199,2,64.3,56.4,1.1400709219858156,3626.5199999999995,36.26519999999999,,,,134445,F cut,,,,,,,,,,
142,66,I.atropurpurea,KUR,2023-03-01,200,1,68.1,62.0,1.0983870967741935,4222.2,42.222,27.8,13.4,4.7,150739,,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,67,I.atropurpurea,KUR,2023-03-01,200,2,61.2,48.5,1.2618556701030927,2968.2000000000003,29.682,,,,150701,,,,,,,,0.0,0.0,0.0,0.0
144,102,I.atropurpurea,KUR,2023-03-08,200,3,47.7,49.5,0.9636363636363637,2361.15,23.611500000000003,22.5,9.1,9, - ,,,,,,,,0.0,0.0,0.0,0.0
145,70,I.atropurpurea,KUR,2023-03-08,201,1,72.7,59.3,1.2259696458684655,4311.11,43.1111,25.9,11.1,9.4,103332,,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,71,I.atropurpurea,KUR,2023-03-08,201,2,55.7,52.8,1.0549242424242424,2940.96,29.409599999999998,25.2,12.5,6,103344,,,,,,,,0.0,0.0,0.0,0.0
147,106,I.atropurpurea,KUR,2023-03-13,201,3,62.0,59.4,1.043771043771044,3682.7999999999997,36.827999999999996,23.8,13.2,7.9,110614,,,,,,,,0.0,0.0,0.0,0.0
148,72,I.atropurpurea,KUR,2023-03-08,202,1,64.4,57.5,1.12,3703.0000000000005,37.03,27.1,13.4,9.5,104902,,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,73,I.atropurpurea,KUR,2023-03-08,202,2,55.8,51.1,1.0919765166340507,2851.38,28.513800000000003,28.7,12.7,9.5,104915,,,,,,,,0.0,0.0,0.0,0.0
150,107,I.atropurpurea,KUR,2023-03-13,202,3,76.0,59.5,1.2773109243697478,4522.0,45.22,30.5,14.9,6.4,111349,,,,,,,,0.0,0.0,0.0,0.0
151,74,I.atropurpurea,KUR,2023-03-08,203,1,67.9,57.1,1.1891418563922942,3877.0900000000006,38.770900000000005,24.2,10.9,7.3,111022,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,75,I.atropurpurea,KUR,2023-03-08,203,2,55.0,48.5,1.134020618556701,2667.5,26.674999999999997,24.2,12.0,7.2,111108,,,,,,,,0.0,0.0,0.0,0.0
153,93,I.atropurpurea,KUR,2023-03-08,204,1,75.7,64.7,1.170015455950541,4897.79,48.977900000000005,33.0,11.3,8.6,130027,Flower cut,12.0,6.0,6.0,1.0,0.0,1.0,,,,
154,94,I.atropurpurea,KUR,2023-03-08,204,2,74.4,63.7,1.1679748822605966,4739.280000000001,47.3928,33.4,10.5,8.3,130046,,,,,,,,0.0,0.0,0.0,0.0
155,95,I.atropurpurea,KUR,2023-03-08,204,3,65.3,57.5,1.1356521739130434,3754.75,37.5475,25.5,11.4,6.7,130149,,,,,,,,1.0,12.0,443.1,36.925000000000004
156,96,I.atropurpurea,KUR,2023-03-08,204,4,73.9,65.3,1.1316998468606434,4825.67,48.2567,,,,130217,,,,,,,,0.0,0.0,0.0,0.0
157,97,I.atropurpurea,KUR,2023-03-08,204,5,66.6,60.3,1.1044776119402984,4015.9799999999996,40.15979999999999,,,, - ,,,,,,,,0.0,0.0,0.0,0.0
158,108,I.atropurpurea,KUR,2023-03-13,204,6,67.9,56.9,1.193321616871705,3863.51,38.6351,27.9,11.4,11.6,112154+112156,,,,,,,,0.0,0.0,0.0,0.0
159,99,I.atropurpurea,KUR,2023-03-08,205,1,60.8,58.3,1.0428816466552315,3544.64,35.446400000000004,26.5,12.9,6.6,135642,,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,100,I.atropurpurea,KUR,2023-03-08,205,2,66.3,57.4,1.1550522648083623,3805.62,38.056200000000004,29.5,12.5,7.6,135657,,,,,,,,0.0,0.0,0.0,0.0
161,104,I.atropurpurea,KUR,2023-03-13,206,1,62.6,50.8,1.2322834645669292,3180.08,31.8008,23.8,10.8,9,105459,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,105,I.atropurpurea,KUR,2023-03-13,206,2,59.4,53.0,1.120754716981132,3148.2,31.481999999999996,23.3,11.8,7.5,105444,,,,,,,,0.0,0.0,0.0,0.0
163,109,I.atropurpurea,KUR,2023-03-13,207,1,69.8,67.7,1.0310192023633677,4725.46,47.2546,29.9,10.4,8.7,113325,,10.0,2.0,8.0,0.0,,,0.0,0.0,0.0,0.0
164,110,I.atropurpurea,KUR,2023-03-13,207,2,76.9,74.8,1.0280748663101607,5752.12,57.5212,30.1,14.6,8.2,113336,,,,,,,,0.0,0.0,0.0,0.0
165,113,I.atropurpurea,KUR,2023-03-13,208,1,66.2,52.4,1.2633587786259544,3468.88,34.6888,24.8,11.9,10.3,122210,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,114,I.atropurpurea,KUR,2023-03-13,209,1,71.2,55.5,1.2828828828828829,3951.6000000000004,39.516,26.4,12.5,9.9,124056,Rhysome was dugged out,13.0,4.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
167,115,I.atropurpurea,KUR,2023-03-13,209,2,70.2,55.1,1.2740471869328494,3868.0200000000004,38.6802,27.9,13.8,8.9,124110,,,,,,,,0.0,0.0,0.0,0.0
168,116,I.atropurpurea,KUR,2023-03-13,209,3,71.9,57.2,1.256993006993007,4112.68,41.12680000000001,26.4,12.8,8.7,124135,,,,,,,,0.0,0.0,0.0,0.0
169,117,I.atropurpurea,KUR,2023-03-13,209,4,57.1,75.5,0.7562913907284768,4311.05,43.1105,24.7,13.0,8.4,124150,,,,,,,,0.0,0.0,0.0,0.0
170,249,I.petrana,YER,2023-03-22,1,1,42.1,44.2,0.9524886877828054,1860.8200000000002,18.6082,26.2,9.3,9.7,135054,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,130,I.petrana,YER,2023-03-19,2,1,56.8,59.9,0.9482470784641068,3402.3199999999997,34.0232,29.2,14.5,8.8,101409,,4.0,1.0,3.0,1.0,2.0,3.0,1.0,21.0,676.5,32.214285714285715
172,131,I.petrana,YER,2023-03-19,5,1,65.1,61.8,1.0533980582524272,4023.1799999999994,40.2318,28.8,17.6,8.5,102121,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,34.0,2084.4,61.30588235294118
173,251,I.petrana,YER,2023-03-22,7,1,48.8,48.9,0.9979550102249488,2386.3199999999997,23.8632,30.0,11.4,9.4,140120,,5.0,2.0,3.0,2.0,3.0,5.0,1.0,3.0,103.9,34.63333333333333
174,252,I.petrana,YER,2023-03-22,7,2,54.0,57.5,0.9391304347826087,3105.0,31.05,33.7,12.0,8.9,140135,,,,,,,,1.0,3.0,117.2,39.06666666666667
175,18,I.petrana,YER,2023-03-09,8,1,65.3,63.5,1.0283464566929132,4146.55,41.46549999999999,24.5,15.6,6.5,152344,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,39.0,1024.5,26.26923076923077
176,253,I.petrana,YER,2023-03-22,9,1,69.5,74.9,0.9279038718291054,5205.55,52.0555,35.5,18.0,11.6,140345,,3.0,3.0,0.0,3.0,0.0,3.0,1.0,23.0,1702.7,74.0304347826087
177,254,I.petrana,YER,2023-03-22,9,2,77.0,73.2,1.0519125683060109,5636.400000000001,56.364000000000004,34.6,14.6,11.5,140352,,,,,,,,1.0,22.0,1379.0,62.68181818181818
178,255,I.petrana,YER,2023-03-22,9,3,72.0,68.9,1.0449927431059505,4960.8,49.608000000000004,30.0,15.6,11.9,140356+140359,,,,,,,,1.0,18.0,910.9,50.605555555555554
179,132,I.petrana,YER,2023-03-19,10,1,62.7,59.0,1.0627118644067797,3699.3,36.993,30.7,16.0,12.8,102427,,10.0,4.0,6.0,4.0,2.0,6.0,1.0,38.0,1504.1,39.58157894736842
180,133,I.petrana,YER,2023-03-19,10,2,56.1,51.8,1.0830115830115832,2905.98,29.0598,26.2,11.5,9.3,102455,,,,,,,,1.0,16.0,499.6,31.225
181,134,I.petrana,YER,2023-03-19,10,3,63.2,67.2,0.9404761904761905,4247.04,42.470400000000005,33.7,18.0,11,102522,Fruit was missing,,,,,,,1.0,,,
182,257,I.petrana,YER,2023-03-22,10,4,59.0,62.3,0.9470304975922954,3675.7,36.757,33.0,15.7,12.2,141011,,,,,,,,1.0,42.0,2205.4,52.50952380952381
183,135,I.petrana,YER,2023-03-19,13,1,55.0,52.7,1.0436432637571158,2898.5,28.985000000000003,29.0,14.0,8.2,103002,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,552.0,34.5
184,19,I.petrana,YER,2023-03-09,15,1,58.0,55.9,1.0375670840787121,3242.2,32.422,31.9,11.1,13.4,153257,,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
185,20,I.petrana,YER,2023-03-09,15,2,59.8,56.6,1.0565371024734982,3384.68,33.8468,26.4,10.2,8.4,153317,Fruit,,,,,,,1.0,22.0,637.6,28.981818181818184
186,21,I.petrana,YER,2023-03-09,15,3,55.9,60.9,0.9178981937602627,3404.31,34.043099999999995,29.3,12.8,12.6,153407,,,,,,,,0.0,0.0,0.0,0.0
187,22,I.petrana,YER,2023-03-09,15,4,53.3,47.5,1.1221052631578947,2531.75,25.3175,24.9,10.8,9.7,153444,,,,,,,,0.0,0.0,0.0,0.0
188,143,I.petrana,YER,2023-03-19,17,1,42.4,56.7,0.7477954144620811,2404.08,24.0408,21.5,11.3,6.7,105139,,3.0,1.0,2.0,1.0,1.0,2.0,1.0,19.0,409.1,21.531578947368423
189,141,I.petrana,YER,2023-03-19,18,1,47.6,54.1,0.8798521256931608,2575.1600000000003,25.7516,25.1,14.4,9,104750,,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
190,142,I.petrana,YER,2023-03-19,18,2,41.8,53.6,0.7798507462686567,2240.48,22.404799999999998,24.8,9.1,3.9,104756,,,,,,,,0.0,0.0,0.0,0.0
191,140,I.petrana,YER,2023-03-19,19,1,58.9,60.3,0.9767827529021559,3551.6699999999996,35.51669999999999,27.0,11.8,9.3,104426,,3.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,113.0,37.666666666666664
192,23,I.petrana,YER,2023-03-09,21,1,57.7,63.6,0.9072327044025158,3669.7200000000003,36.6972,26.5,10.7,8, - ,,5.0,2.0,3.0,2.0,0.0,2.0,1.0,39.0,1085.2,27.825641025641026
193,139,I.petrana,YER,2023-03-19,21,2,59.7,54.8,1.0894160583941608,3271.56,32.7156,24.6,11.9,8.4,103915,,,,,,,,1.0,7.0,147.2,21.02857142857143
194,30,I.petrana,YER,2023-03-16,26,1,62.1,69.0,0.9,4284.900000000001,42.849000000000004,29.2,14.1,7.3,94816,"#3 C, took, no fruit",5.0,4.0,1.0,1.0,1.0,2.0,1.0,17.0,542.7,31.923529411764708
195,176,I.petrana,YER,2023-03-19,26,2,57.0,61.1,0.9328968903436988,3482.7000000000003,34.827000000000005,29.0,14.5,9.4,123811,,,,,,,,0.0,0.0,0.0,0.0
196,177,I.petrana,YER,2023-03-19,26,3,43.6,68.1,0.6402349486049927,2969.16,29.6916,22.7,9.9,8,123825,,,,,,,,0.0,0.0,0.0,0.0
197,250,I.petrana,YER,2023-03-22,26,4,59.8,59.0,1.0135593220338983,3528.2,35.282,28.2,14.4,6.9,135549,,,,,,,,0.0,0.0,0.0,0.0
198,28,I.petrana,YER,2023-03-09,27,1,49.9,56.0,0.8910714285714285,2794.4,27.944,29.6,11.0,7, - ,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,175,I.petrana,YER,2023-03-19,30,1,57.7,57.1,1.010507880910683,3294.67,32.9467,27.7,12.0,9.5,123208,Small seeds,6.0,2.0,4.0,2.0,4.0,6.0,1.0,35.0,889.1,25.402857142857144
200,265,I.petrana,YER,2023-03-22,30,2,53.0,54.0,0.9814814814814815,2862.0,28.62,27.2,13.0,9,143529,,,,,,,,1.0,29.0,1045.4,36.04827586206897
201,128,I.petrana,YER,2023-03-16,31,1,56.5,47.7,1.1844863731656183,2695.05,26.950500000000005,24.5,13.0,9.2,52545,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,26,I.petrana,YER,2023-03-09,32,1,66.0,60.3,1.0945273631840797,3979.7999999999997,39.797999999999995,33.9,14.0,8.2,155934,,3.0,3.0,0.0,3.0,0.0,3.0,1.0,79.0,2565.6,32.4759493670886
203,27,I.petrana,YER,2023-03-09,32,2,63.2,62.3,1.014446227929374,3937.36,39.373599999999996,31.0,11.9,9.1,155941,,,,,,,,1.0,20.0,647.7,32.385000000000005
204,260,I.petrana,YER,2023-03-22,32,3,62.8,61.8,1.0161812297734627,3881.0399999999995,38.810399999999994,31.8,13.5,10.1,141736,,,,,,,,1.0,19.0,683.1,35.95263157894737
205,126,I.petrana,YER,2023-03-16,33,1,56.3,61.3,0.9184339314845025,3451.1899999999996,34.5119,31.4,15.9,11,51844+51840,,3.0,1.0,2.0,1.0,2.0,3.0,1.0,42.0,1441.1,34.311904761904756
206,262,I.petrana,YER,2023-03-22,34,1,54.7,54.4,1.005514705882353,2975.6800000000003,29.756800000000002,26.3,15.9,11.2,142542,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,173,I.petrana,YER,2023-03-19,36,1,47.7,64.1,0.7441497659906398,3057.5699999999997,30.575699999999998,22.2,12.8,10.6,121842,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,150,I.petrana,YER,2023-03-19,39,1,76.8,81.8,0.9388753056234719,6282.24,62.822399999999995,36.1,17.0,11.4,112223,,6.0,3.0,3.0,1.0,3.0,4.0,1.0,59.0,3166.2,53.664406779661014
209,151,I.petrana,YER,2023-03-19,39,2,69.4,77.6,0.8943298969072166,5385.44,53.8544,32.8,13.8,14.8,112245,,,,,,,,0.0,0.0,0.0,0.0
210,152,I.petrana,YER,2023-03-19,39,3,57.4,59.8,0.959866220735786,3432.5199999999995,34.325199999999995,22.9,13.7,12.5,112254,,,,,,,,0.0,0.0,0.0,0.0
211,153,I.petrana,YER,2023-03-19,40,1,61.9,64.2,0.9641744548286604,3973.98,39.739799999999995,30.4,16.2,9.1,112500,,5.0,4.0,1.0,3.0,1.0,4.0,1.0,63.0,1256.8,19.94920634920635
212,154,I.petrana,YER,2023-03-19,40,2,49.6,54.0,0.9185185185185185,2678.4,26.784000000000002,24.1,12.6,13,112508,,,,,,,,0.0,0.0,0.0,0.0
213,155,I.petrana,YER,2023-03-19,40,3,58.5,62.8,0.9315286624203822,3673.7999999999997,36.73799999999999,28.8,13.8,11.2,112548,,,,,,,,1.0,18.0,423.8,23.544444444444444
214,290,I.petrana,YER,2023-03-28,40,4,44.4,55.6,0.7985611510791366,2468.64,24.6864,25.7,14.2,13.2,112653,Very small seeds,,,,,,,1.0,19.0,396.4,20.86315789473684
215,156,I.petrana,YER,2023-03-19,43,1,41.3,51.4,0.8035019455252917,2122.8199999999997,21.228199999999998,19.8,9.3,8,113219,,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,275,I.petrana,YER,2023-03-22,44,1,59.5,59.7,0.9966499162479061,3552.15,35.5215,28.9,14.5,9.9,145549,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,34.0,1738.4,51.129411764705885
217,161,I.petrana,YER,2023-03-19,47,1,39.0,60.8,0.6414473684210527,2371.2,23.712,29.0,16.3,6.7,115152,,17.0,5.0,12.0,4.0,9.0,13.0,1.0,11.0,431.6,39.23636363636364
218,162,I.petrana,YER,2023-03-19,47,2,41.7,65.3,0.6385911179173048,2723.01,27.230099999999997,29.0,16.8,9.6,115205,,,,,,,,1.0,36.0,1287.5,35.763888888888886
219,163,I.petrana,YER,2023-03-19,47,3,62.3,64.0,0.9734375,3987.2,39.872,30.3,15.8,11.2,115217,,,,,,,,1.0,62.0,2286.5,36.87903225806452
220,164,I.petrana,YER,2023-03-19,47,4,59.3,68.9,0.8606676342525398,4085.77,40.8577,28.1,13.3,9.2,115228,,,,,,,,1.0,22.0,1292.9,58.76818181818182
221,165,I.petrana,YER,2023-03-19,47,5,39.1,56.8,0.6883802816901409,2220.88,22.2088,30.0,14.5,10.6,115236,,,,,,,,0.0,0.0,0.0,0.0
222,171,I.petrana,YER,2023-03-19,50,1,47.0,65.4,0.7186544342507645,3073.8,30.738000000000007,24.7,12.5,10.1,121003+121005,,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
223,172,I.petrana,YER,2023-03-19,50,2,56.5,77.0,0.7337662337662337,4350.5,43.505,27.7,13.7,10,121036,,,,,,,,1.0,28.0,588.0,21.0
224,207,I.petrana,YER,2023-03-22,53,1,58.0,59.3,0.9780775716694773,3439.3999999999996,34.394,31.4,14.7,13.2,103652,,8.0,5.0,3.0,4.0,2.0,6.0,1.0,20.0,422.7,21.134999999999998
225,208,I.petrana,YER,2023-03-22,53,2,56.9,60.4,0.9420529801324503,3436.7599999999998,34.367599999999996,34.5,15.0,12,103707,,,,,,,,1.0,33.0,1100.1,33.336363636363636
226,209,I.petrana,YER,2023-03-22,53,3,59.4,66.9,0.8878923766816142,3973.86,39.7386,31.4,17.5,8.7,103722,,,,,,,,1.0,12.0,397.0,33.083333333333336
227,210,I.petrana,YER,2023-03-22,53,4,51.6,59.3,0.8701517706576729,3059.88,30.5988,30.2,13.7,10.7,103739,Fruit was missing,,,,,,,0.0,0.0,0.0,0.0
228,211,I.petrana,YER,2023-03-22,53,5,50.8,56.6,0.8975265017667844,2875.2799999999997,28.7528,27.7,14.5,13.4,103753,,,,,,,,1.0,21.0,520.3,24.776190476190475
229,9,I.petrana,YER,2023-03-09,54,1,71.5,60.6,1.1798679867986799,4332.900000000001,43.32900000000001,29.6,13.0,8,110043,,8.0,3.0,5.0,2.0,2.0,4.0,1.0,44.0,1318.6,29.968181818181815
230,31,I.petrana,YER,2023-03-16,54,2,69.0,59.0,1.1694915254237288,4071.0,40.71000000000001,28.5,15.5,12.6,95718,,,,,,,,1.0,27.0,863.2,31.97037037037037
231,32,I.petrana,YER,2023-03-16,54,3,67.3,61.2,1.099673202614379,4118.76,41.187599999999996,27.7,13.0,8.7,95730,,,,,,,,0.0,0.0,0.0,0.0
232,33,I.petrana,YER,2023-03-16,55,1,61.2,56.6,1.0812720848056538,3463.92,34.6392,27.9,14.1,8.9,100144,Very small seeds,3.0,2.0,1.0,2.0,1.0,3.0,1.0,50.0,1332.1,26.642
233,34,I.petrana,YER,2023-03-16,55,2,58.2,52.2,1.1149425287356323,3038.0400000000004,30.380400000000005,29.0,11.8,9.6,100155,Very small seeds,,,,,,,1.0,33.0,525.3,15.918181818181816
234,8,I.petrana,YER,2023-03-09,57,1,57.2,59.9,0.9549248747913189,3426.28,34.262800000000006,29.7,14.6,6.2,105443,Small seeds,8.0,3.0,5.0,2.0,1.0,3.0,1.0,6.0,216.7,36.11666666666667
235,39,I.petrana,YER,2023-03-16,57,2,47.6,47.8,0.99581589958159,2275.2799999999997,22.752799999999997,25.6,11.7,8.3,101615,No fruit,,,,,,,0.0,0.0,0.0,0.0
236,197,I.petrana,YER,2023-03-22,57,3,40.2,49.5,0.8121212121212121,1989.9,19.899000000000004,26.6,11.9,8.2,100357,Small seeds,,,,,,,1.0,4.0,85.3,21.325
237,44,I.petrana,YER,2023-03-16,60,1,55.8,50.0,1.1159999999999999,2790.0,27.9,27.1,14.4,9.6,103056,,6.0,4.0,2.0,4.0,1.0,5.0,1.0,42.0,1283.1,30.549999999999997
238,45,I.petrana,YER,2023-03-16,60,2,51.4,52.2,0.9846743295019156,2683.08,26.8308,24.9,12.7,9.9,103103,,,,,,,,1.0,20.0,347.4,17.369999999999997
239,46,I.petrana,YER,2023-03-16,60,3,57.0,54.1,1.0536044362292052,3083.7000000000003,30.837000000000003,30.0,13.9,8.2,103110,,,,,,,,1.0,15.0,485.9,32.39333333333333
240,198,I.petrana,YER,2023-03-22,60,4,39.2,40.5,0.9679012345679013,1587.6000000000001,15.876000000000001,22.9,10.7,8.9,100749+100752,,,,,,,,1.0,4.0,169.1,42.275
241,47,I.petrana,YER,2023-03-16,61,1,45.8,49.5,0.9252525252525252,2267.1,22.671000000000003,22.3,11.3,9.2,103256,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,158.9,19.8625
242,48,I.petrana,YER,2023-03-16,64,1,56.9,56.7,1.00352733686067,3226.23,32.262299999999996,28.8,10.1,9.7,103541,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
243,93,I.petrana,YER,2023-03-16,65,1,39.0,47.7,0.8176100628930817,1860.3000000000002,18.603,22.6,12.0,7.6,32814,,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
244,94,I.petrana,YER,2023-03-16,65,2,45.5,55.6,0.8183453237410072,2529.8,25.298000000000002,22.8,13.4,8,32824,,,,,,,,0.0,0.0,0.0,0.0
245,95,I.petrana,YER,2023-03-16,65,3,51.9,57.0,0.9105263157894736,2958.2999999999997,29.583,26.3,15.6,8.9,32831,,,,,,,,1.0,19.0,379.8,19.989473684210527
246,199,I.petrana,YER,2023-03-22,66,1,50.2,50.0,1.004,2510.0,25.1,24.6,11.7,7.9,101130,,5.0,3.0,2.0,3.0,0.0,3.0,1.0,5.0,105.3,21.06
247,200,I.petrana,YER,2023-03-22,66,2,52.4,51.0,1.0274509803921568,2672.4,26.724,25.9,10.4,12.2,101138,,,,,,,,1.0,12.0,391.4,32.61666666666667
248,201,I.petrana,YER,2023-03-22,66,3,48.5,49.4,0.9817813765182186,2395.9,23.958999999999996,24.6,12.2,9.6,101145,,,,,,,,1.0,0.0,0.0,0.0
249,202,I.petrana,YER,2023-03-22,67,1,61.7,63.8,0.9670846394984327,3936.46,39.364599999999996,29.6,15.0,8.6,101458,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,25.0,962.5,38.5
250,49,I.petrana,YER,2023-03-16,68,1,53.4,55.6,0.9604316546762589,2969.04,29.6904,28.8,13.7,9,103841,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,16.0,380.5,23.78125
251,203,I.petrana,YER,2023-03-22,72,1,47.3,55.4,0.8537906137184115,2620.4199999999996,26.204199999999997,24.2,11.4,8.9,101724,Written 74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,204,I.petrana,YER,2023-03-22,73,1,48.9,62.3,0.7849117174959872,3046.47,30.464699999999997,26.0,10.9,7.4,102018,,4.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,151.3,30.26
253,205,I.petrana,YER,2023-03-22,73,2,44.7,45.6,0.9802631578947368,2038.3200000000002,20.383200000000006,23.5,10.6,7.2,102025,No fruit,,,,,,,0.0,0.0,0.0,0.0
254,206,I.petrana,YER,2023-03-22,73,3,58.6,63.2,0.9272151898734177,3703.5200000000004,37.0352,27.6,11.9,9.1,102031,,,,,,,,1.0,21.0,535.1,25.48095238095238
255,59,I.petrana,YER,2023-03-16,74,1,54.5,59.9,0.9098497495826378,3264.5499999999997,32.645500000000006,25.5,16.6,9,111450,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,23.0,609.8,26.51304347826087
256,96,I.petrana,YER,2023-03-16,78,1,64.9,54.9,1.1821493624772315,3563.01,35.630100000000006,30.0,13.5,10.4,34009,,3.0,2.0,1.0,2.0,1.0,3.0,1.0,28.0,1169.2,41.75714285714286
257,97,I.petrana,YER,2023-03-16,78,2,69.1,70.0,0.9871428571428571,4837.0,48.37,30.3,14.6,8.5,34039,,,,,,,,1.0,47.0,1759.1,37.42765957446808
258,98,I.petrana,YER,2023-03-16,79,1,63.3,58.7,1.078364565587734,3715.71,37.1571,29.5,14.5,9.4,34515,,7.0,5.0,2.0,4.0,1.0,5.0,1.0,26.0,961.7,36.98846153846154
259,99,I.petrana,YER,2023-03-16,79,2,51.3,53.8,0.9535315985130112,2759.9399999999996,27.5994,26.8,13.0,9.9,34524+34530,,,,,,,,1.0,28.0,977.4,34.90714285714286
260,100,I.petrana,YER,2023-03-16,79,3,47.3,47.9,0.9874739039665971,2265.6699999999996,22.656699999999997,23.0,11.9,9.9,34538+34552,,,,,,,,1.0,16.0,578.9,36.18125
261,101,I.petrana,YER,2023-03-16,79,4,51.0,52.0,0.9807692307692307,2652.0,26.52,24.3,12.3,6.8,34558,No fruit,,,,,,,0.0,0.0,0.0,0.0
262,193,I.petrana,YER,2023-03-22,79,5,45.6,49.1,0.9287169042769857,2238.96,22.3896,19.5,7.7,5.9,94849,,,,,,,,1.0,11.0,305.6,27.781818181818185
263,102,I.petrana,YER,2023-03-16,80,1,62.9,59.8,1.0518394648829432,3761.4199999999996,37.6142,27.9,15.3,9.3,35104,,7.0,3.0,4.0,3.0,2.0,5.0,1.0,34.0,908.8,26.72941176470588
264,103,I.petrana,YER,2023-03-16,80,2,60.7,57.1,1.063047285464098,3465.9700000000003,34.6597,28.4,14.9,9.3,35110,,,,,,,,1.0,49.0,822.1,16.777551020408165
265,104,I.petrana,YER,2023-03-16,80,3,67.4,59.6,1.1308724832214765,4017.0400000000004,40.1704,30.0,16.2,9.2,35120,,,,,,,,1.0,39.0,1237.0,31.71794871794872
